ticker,date,open,high,low,close
CAI,2025-06-18,27.0,29.4,25.56,28.0
CAI,2025-06-20,30.67,30.7,25.87,27.3
CAI,2025-06-23,26.6,27.09,25.65,25.94
CAI,2025-06-24,26.47,28.1149,26.45,27.7
CAI,2025-06-25,27.5,28.0,26.1,26.43
CAI,2025-06-26,26.44,27.24,26.34,26.75
CAI,2025-06-27,26.52,26.98,26.31,26.81
CAI,2025-06-30,26.5,26.89,26.33,26.73
CAI,2025-07-01,26.5,27.09,25.94,26.51
CAI,2025-07-02,26.5,26.73,25.92,26.73
CAI,2025-07-03,26.8,26.8,25.8,26.54
CAI,2025-07-07,26.02,26.56,25.4001,26.53
CAI,2025-07-08,26.23,27.03,26.01,26.29
CAI,2025-07-09,26.46,27.31,26.095,27.24
CAI,2025-07-10,26.53,27.035,26.37,26.62
CAI,2025-07-11,26.51,26.51,26.51,26.51
CAI,2025-07-14,26.83,28.2,26.75,27.72
CAI,2025-07-15,28.315,29.08,27.7,28.91
CAI,2025-07-16,29.54,31.41,28.68,31.4
CAI,2025-07-17,33.37,33.4132,30.47,31.285
CAI,2025-07-18,31.95,31.95,29.07,30.19
CAI,2025-07-21,30.2,32.05,28.17,28.29
CAI,2025-07-22,28.33,30.36,28.01,30.29
CAI,2025-07-23,30.41,31.03,29.68,30.03
CAI,2025-07-24,30.03,30.43,29.18,29.49
CAI,2025-07-25,29.6,29.79,28.93,29.54
CAI,2025-07-28,30.14,30.14,26.97,27.06
CAI,2025-07-29,27.57,28.2,27.1,27.56
CAI,2025-07-30,28.12,29.76,27.7,29.5
CAI,2025-07-31,29.16,29.52,28.0,28.05
CAI,2025-08-01,27.8,28.35,27.26,28.04
CAI,2025-08-04,27.97,29.505,27.18,29.49
CAI,2025-08-05,29.08,30.5,28.865,30.3
CAI,2025-08-06,30.03,30.2,28.33,28.95
CAI,2025-08-07,28.72,28.72,27.41,28.59
CAI,2025-08-08,28.98,29.9,27.65,29.75
CAI,2025-08-11,30.0,31.29,28.2208,30.07
CAI,2025-08-12,30.08,33.5,29.74,32.46
CAI,2025-08-13,39.8,39.8,33.02,34.28
CAI,2025-08-14,34.0,37.62,33.34,36.99
CAI,2025-08-15,37.77,38.3899,35.64,36.5
CAI,2025-08-18,37.66,37.72,34.67,35.967
CAI,2025-08-19,37.5998,38.35,36.034,36.93
CAI,2025-08-20,37.47,37.47,35.03,35.07
CAI,2025-08-21,35.0,38.18,34.44,38.119
CAI,2025-08-22,38.37,42.5,37.86,39.3
CAI,2025-08-25,39.21,40.4,38.4,38.48
CAI,2025-08-26,38.17,39.3,37.8,38.39
CAI,2025-08-27,38.4,38.85,37.58,38.22
CAI,2025-08-28,38.26,38.78,37.72,38.23
CAI,2025-08-29,38.26,39.1845,37.25,38.39
CAI,2025-09-02,37.56,38.68,35.84,36.56
CAI,2025-09-03,36.6,37.42,35.815,36.79
CAI,2025-09-04,36.47,36.79,34.34,36.35
CAI,2025-09-05,36.3,36.65,34.6301,34.85
CAI,2025-09-08,34.71,35.47,33.91,34.8
CAI,2025-09-09,34.81,34.93,33.79,33.95
CAI,2025-09-10,33.85,34.38,33.3356,33.4
CAI,2025-09-11,33.22,35.2,33.2,34.21
CAI,2025-09-12,34.11,34.75,33.47,34.06
CAI,2025-09-15,34.04,34.4636,33.03,33.12
CAI,2025-09-16,33.0,33.9297,32.53,33.66
CAI,2025-09-17,33.65,34.23,33.03,33.53
CAI,2025-09-18,33.69,34.5438,32.87,33.43
CAI,2025-09-19,33.43,34.12,32.32,32.57
CAI,2025-09-22,32.29,33.37,31.51,32.94
CAI,2025-09-23,32.84,33.2,32.08,32.1
CAI,2025-09-24,32.23,32.6,30.38,30.44
CAI,2025-09-25,30.16,30.16,28.205,29.73
CAI,2025-09-26,30.01,30.3676,28.77,29.19
CAI,2025-09-29,29.31,30.25,28.7,30.0
CAI,2025-09-30,29.85,30.35,29.3253,30.24
CAI,2025-10-01,30.14,31.34,30.01,30.33
